OBJECTID,Property_Name,Address_1,City,Postal_Code,Property_GFA_M_Sq,Primary_Property_Type,Electricity_Use_Grid_Purchase_k,Natural_Gas_Use_GJ,Propane_Use_GJ,District_Hot_Water_Use_GJ,District_Chilled_Water_Use_GJ,Total_GHG_Emissions_Metric_Tons,Total_GHG_Emissions_Intensity_k,Direct_GHG_Emissions_Metric_Ton,Direct_GHG_Emissions_Intensity_,Indirect_GHG_Emissions_Metric_T,Indirect_GHG_Emissions_Intensit,Site_EUI_GJ_m_,Year_Ending
1376,Chedoke Golf - Clubhouse,565 Aberdeen Ave. E.,Hamilton,L8P 2S6,1153.9,Other - Public Services,283101.2,2811.4,Not Available,Not Available,Not Available,149.6,129.6,141.3,122.5,8.2,7.1,3.32,2019/12/31 00:00:00+00
1377,Chedoke Golf - Clubhouse,565 Aberdeen Ave. E.,Hamilton,L8P 2S6,1153.9,Other - Public Services,253098,2637.8,Not Available,Not Available,Not Available,139.7,121.1,132.6,114.9,7.1,6.1,3.08,2020/12/31 00:00:00+00
1378,Chedoke Golf - Clubhouse,565 Aberdeen Ave. E.,Hamilton,L8P 2S6,1153.9,Other - Public Services,287142,1514.7,Not Available,Not Available,Not Available,84.2,73,76.2,66,8,7,2.21,2021/12/31 00:00:00+00
1379,Chedoke Golf - Clubhouse,565 Aberdeen Ave. E.,Hamilton,L8P 2S6,1153.9,Other - Public Services,297123.8,2131.1,Not Available,Not Available,Not Available,115.5,100.1,107.1,92.9,8.3,7.2,2.77,2022/12/31 00:00:00+00
1380,Chedoke Golf - Clubhouse,565 Aberdeen Ave. E.,Hamilton,L8P 2S6,1153.9,Other - Public Services,260569,1300.7,Not Available,Not Available,Not Available,72.7,63,65.4,56.7,7.3,6.3,1.94,2023/12/31 00:00:00+00
1381,Chedoke Twin Pad Arena,91 CHEDMAC DRIVE,Hamilton,L9C 7R5,8307.5,Ice/Curling Rink,1771887.6,9302.7,Not Available,Not Available,Not Available,519.1,62.5,467.7,56.3,51.4,6.2,1.89,2019/12/31 00:00:00+00
1382,Chedoke Twin Pad Arena,91 CHEDMAC DRIVE,Hamilton,L9C 7R5,8307.5,Ice/Curling Rink,1447638.2,7582.9,Not Available,Not Available,Not Available,421.8,50.8,381.2,45.9,40.5,4.9,1.54,2020/12/31 00:00:00+00
1383,Chedoke Twin Pad Arena,91 CHEDMAC DRIVE,Hamilton,L9C 7R5,8307.5,Ice/Curling Rink,1563011.8,6279.7,Not Available,Not Available,Not Available,359.5,43.3,315.7,38,43.8,5.3,1.43,2021/12/31 00:00:00+00
1384,Chedoke Twin Pad Arena,91 CHEDMAC DRIVE,Hamilton,L9C 7R5,8307.5,Ice/Curling Rink,1683042.4,9291,Not Available,Not Available,Not Available,514.2,61.9,467.1,56.2,47.1,5.7,1.85,2022/12/31 00:00:00+00
1385,Chedoke Twin Pad Arena,91 CHEDMAC DRIVE,Hamilton,L9C 7R5,8307.5,Ice/Curling Rink,1803441,8390.9,Not Available,Not Available,Not Available,472.4,56.9,421.9,50.8,50.5,6.1,1.79,2023/12/31 00:00:00+00
1386,Club 60 Senior Citizen Centre,4-6 KING STREET WEST,Stoney Creek,L8G 1G8,331.5,Social/Meeting Hall,28477.7,287.1,Not Available,Not Available,Not Available,15.3,46,14.4,43.5,0.8,2.5,1.18,2019/12/31 00:00:00+00
1387,Club 60 Senior Citizen Centre,4-6 KING STREET WEST,Stoney Creek,L8G 1G8,331.5,Social/Meeting Hall,12250,234.8,Not Available,Not Available,Not Available,12.1,36.6,11.8,35.6,0.3,1,0.84,2020/12/31 00:00:00+00
1388,Club 60 Senior Citizen Centre,4-6 KING STREET WEST,Stoney Creek,L8G 1G8,331.5,Social/Meeting Hall,9232,202.1,Not Available,Not Available,Not Available,10.4,31.4,10.2,30.7,0.3,0.8,0.71,2021/12/31 00:00:00+00
1389,Club 60 Senior Citizen Centre,4-6 KING STREET WEST,Stoney Creek,L8G 1G8,331.5,Social/Meeting Hall,15051.8,260.8,Not Available,Not Available,Not Available,13.5,40.8,13.1,39.6,0.4,1.3,0.95,2022/12/31 00:00:00+00
1390,Club 60 Senior Citizen Centre,4-6 KING STREET WEST,Stoney Creek,L8G 1G8,331.5,Social/Meeting Hall,16357,283,Not Available,Not Available,Not Available,14.7,44.3,14.2,42.9,0.5,1.4,1.03,2023/12/31 00:00:00+00
