OBJECTID,UNITID,ASSOCIATEDNAME,SAMPLEDATE,DICHLOROBENZENE_1_2,TRANS_1_3_DICHLOROPROPYLENE,DICHLOROBENZENE_1_4,SILVER,ALUMINUM,ALGAE_AND_CYANOBACTERIA,ARSENIC,BORON,BARIUM,BERYLLIUM,BENZENE,BISMUTH,CALCIUM,CBIOCHEMICAL_OXYGEN_DEMAND,CADMIUM,CIS_1_2_DICHLOROETHYLENE,CHLOROFORM,CHLORIDE,COBALT,CONDUCTIVITY_FIELD,CHROMIUM,COPPER,DICHLOROMETHANE,DISSOLVED_OXYGEN,DISSOLVED_OXYGEN_FIELD,ESCHERICHIA_COLI,ETHYLBENZENE,FLUORIDE,IRON,HARDNESS,POTASSIUM,LITHIUM,MICROSCOPIC_ANALYSIS,MAGNESIUM,MANGANESE,MOLYBDENUM,M_PLUS_P_XYLENE,SODIUM,UNIONIZED_AMMONIA_AS_NH3_AT_FI,AMMONIA_PLUS_AMMONIUM_AS_N,NICKEL,NITRITE_AS_N,NITRATE_AS_N,NITRATE_PLUS_NITRITE_AS_N,O_PHOSPHATE_AS_P,O_XYLENE,PHOSPHORUS_TOTAL,PHOSPHORUS_DISSOLVED_TOTAL,LEAD,PH,PH_FIELD,ANTIMONY,SELENIUM,SILICON,TIN,STRONTIUM,TETRACHLOROETHANE_1_1_2_2,TEMPERATURE_FIELD,TRICHLOROETHYLENE,TITANIUM,TOTAL_KJELDAHL_NITROGEN_AS_N,THALLIUM,TOLUENE,TOTAL_SUSPENDED_SOLIDS,TETRACHLOROETHYLENE,URANIUM,VANADIUM,TUNGSTEN,XYLENE,CAFFEINE,ZINC,ZIRCONIUM,LONGITUDE,LATITUDE
396,CC SW1,CHEDOKE CREEK,2021/07/20 05:00:00+00,,,,<0.0001 mg/L,0.662 mg/L,,0.0020 mg/L,0.152 mg/L,0.0702 mg/L,<0.0001 mg/L,,<0.0001 mg/L,77.1 mg/L,10 mg/L,<0.0001 mg/L,,,197 mg/L,0.0005 mg/L,1340 uS/cm,0.0013 mg/L,0.0042 mg/L,,,8.38 mg/L,50 MPN/100mL,,,1.05 mg/L,284 mg/L,4.82 mg/L,0.0127 mg/L,,22.3 mg/L,0.102 mg/L,0.0040 mg/L,,112 mg/L,,0.05 mg/L,0.0023 mg/L,<0.1 mg/L,0.55 mg/L,,0.07 mg/L,,0.269 mg/L,,0.0026 mg/L,,7.96 pH,0.0005 mg/L,0.0004 mg/L,3.67 mg/L,0.0002 mg/L,1.25 mg/L,,25.6 C,,0.0225 mg/L,1.4 mg/L,<0.0003 mg/L,,40.8 mg/L,,1.16 ug/L,0.0027 mg/L,0.0003 mg/L,,,0.023 mg/L,0.0007 mg/L,-79.89351,43.2735
397,AC SW1,HAMILTON WEST SWQP,2022/11/23 05:00:00+00,,,,<0.0001 mg/L,0.044 mg/L,,0.0008 mg/L,0.030 mg/L,0.0952 mg/L,<0.0001 mg/L,,<0.0001 mg/L,120 mg/L,<2 mg/L,<0.0001 mg/L,,,186 mg/L,0.0001 mg/L,1213 uS/cm,0.0001 mg/L,0.0005 mg/L,,,11.0 mg/L,2420 MPN/100mL,,,0.174 mg/L,400 mg/L,1.93 mg/L,0.0102 mg/L,,24.3 mg/L,0.0836 mg/L,0.0004 mg/L,,89.2 mg/L,,0.06 mg/L,0.0004 mg/L,<0.05 mg/L,0.70 mg/L,,<0.05 mg/L,,0.036 mg/L,,0.0001 mg/L,,8.13 pH,<0.0001 mg/L,<0.0001 mg/L,6.31 mg/L,<0.0001 mg/L,0.347 mg/L,,6.1 C,,0.0010 mg/L,0.2 mg/L,<0.0003 mg/L,,3.8 mg/L,,1.02 ug/L,0.0002 mg/L,<0.0001 mg/L,,,0.004 mg/L,<0.0004 mg/L,-79.97105,43.2226
398,AC SW1,HAMILTON WEST SWQP,2022/12/12 05:00:00+00,,,,<0.0001 mg/L,0.05 mg/L,,0.0008 mg/L,0.029 mg/L,0.0928 mg/L,<0.0001 mg/L,,<0.0001 mg/L,124 mg/L,<2 mg/L,<0.0001 mg/L,,,185 mg/L,0.0001 mg/L,1204 uS/cm,0.0001 mg/L,0.0007 mg/L,,,11.1 mg/L,1610 MPN/100mL,,,0.188 mg/L,405 mg/L,1.93 mg/L,0.0094 mg/L,,23.2 mg/L,0.0865 mg/L,0.0004 mg/L,,85.9 mg/L,,0.09 mg/L,0.0004 mg/L,<0.05 mg/L,0.74 mg/L,,0.05 mg/L,,0.049 mg/L,,0.0002 mg/L,,7.83 pH,<0.0001 mg/L,<0.0001 mg/L,6.43 mg/L,<0.0001 mg/L,0.353 mg/L,,5.4 C,,0.0028 mg/L,1.4 mg/L,<0.0003 mg/L,,1.6 mg/L,,1.04 ug/L,0.0002 mg/L,<0.0001 mg/L,,,0.006 mg/L,<0.0004 mg/L,-79.97105,43.2226
399,AC SW1,HAMILTON WEST SWQP,2023/01/17 05:00:00+00,,,,<0.0001 mg/L,0.149 mg/L,,0.0012 mg/L,0.028 mg/L,0.0985 mg/L,<0.0001 mg/L,,<0.0001 mg/L,123 mg/L,<2 mg/L,<0.0001 mg/L,,,333 mg/L,0.0002 mg/L,1524 uS/cm,0.0003 mg/L,0.0012 mg/L,,,11.5 mg/L,1050 MPN/100mL,,,0.499 mg/L,395 mg/L,2.23 mg/L,0.0082 mg/L,,21.4 mg/L,0.164 mg/L,0.0004 mg/L,,185 mg/L,,0.08 mg/L,0.0006 mg/L,<0.05 mg/L,0.78 mg/L,,<0.05 mg/L,,0.053 mg/L,,0.0005 mg/L,,8.1 pH,<0.0001 mg/L,0.0001 mg/L,5.7 mg/L,<0.0001 mg/L,0.466 mg/L,,4.2 C,,0.0035 mg/L,0.3 mg/L,<0.0003 mg/L,,7 mg/L,,1.2 ug/L,0.0005 mg/L,<0.0001 mg/L,,,0.019 mg/L,<0.0004 mg/L,-79.97105,43.2226
400,AC SW1,HAMILTON WEST SWQP,2023/02/14 05:00:00+00,,,,<0.0001 mg/L,0.046 mg/L,,0.0008 mg/L,0.037 mg/L,0.0891 mg/L,<0.0001 mg/L,,<0.0001 mg/L,143 mg/L,<2 mg/L,<0.0001 mg/L,,,183 mg/L,0.0002 mg/L,1216 uS/cm,0.0002 mg/L,0.0008 mg/L,,,12.1 mg/L,1990 MPN/100mL,,,0.23 mg/L,458 mg/L,1.99 mg/L,0.0105 mg/L,,24.4 mg/L,0.111 mg/L,0.0007 mg/L,,99 mg/L,,0.03 mg/L,0.0006 mg/L,<0.05 mg/L,0.81 mg/L,,<0.05 mg/L,,0.025 mg/L,,0.0003 mg/L,,7.73 pH,<0.0001 mg/L,0.0001 mg/L,6.87 mg/L,<0.0001 mg/L,0.493 mg/L,,5.2 C,,0.0015 mg/L,<0.2 mg/L,<0.0003 mg/L,,2.2 mg/L,,1.72 ug/L,0.0002 mg/L,<0.0001 mg/L,,,0.019 mg/L,<0.0004 mg/L,-79.97105,43.2226
401,AC SW1,HAMILTON WEST SWQP,2023/03/22 05:00:00+00,,,,<0.0001 mg/L,0.406 mg/L,,0.0008 mg/L,0.039 mg/L,0.0663 mg/L,<0.0001 mg/L,,<0.0001 mg/L,98.1 mg/L,<2 mg/L,<0.0001 mg/L,,,157 mg/L,0.0002 mg/L,987 uS/cm,0.0005 mg/L,0.0018 mg/L,,,12.66 mg/L,5170 MPN/100mL,,,0.584 mg/L,314 mg/L,2.05 mg/L,0.0061 mg/L,,16.8 mg/L,0.11 mg/L,0.0006 mg/L,,83.3 mg/L,,0.06 mg/L,0.0007 mg/L,<0.05 mg/L,0.76 mg/L,,<0.05 mg/L,,0.078 mg/L,,0.0006 mg/L,,7.85 pH,<0.0001 mg/L,0.0002 mg/L,5.21 mg/L,<0.0001 mg/L,0.56 mg/L,,4.5 C,,0.0072 mg/L,0.5 mg/L,<0.0003 mg/L,,7.6 mg/L,,1.28 ug/L,0.0007 mg/L,<0.0001 mg/L,,,0.018 mg/L,<0.0004 mg/L,-79.97105,43.2226
402,AC SW1,HAMILTON WEST SWQP,2023/04/24 05:00:00+00,,,,<0.0001 mg/L,0.059 mg/L,,0.0008 mg/L,0.033 mg/L,0.0787 mg/L,<0.0001 mg/L,,<0.0001 mg/L,119 mg/L,<2 mg/L,<0.0001 mg/L,,,178 mg/L,0.0001 mg/L,1145 uS/cm,0.0001 mg/L,0.0007 mg/L,,,11.67 mg/L,1420 MPN/100mL,,,0.225 mg/L,386 mg/L,1.82 mg/L,0.0078 mg/L,,21.6 mg/L,0.0973 mg/L,0.0005 mg/L,,92.7 mg/L,,0.02 mg/L,0.0005 mg/L,<0.1 mg/L,0.62 mg/L,,<0.05 mg/L,,0.023 mg/L,,0.0002 mg/L,,7.55 pH,<0.0001 mg/L,0.0001 mg/L,4.91 mg/L,<0.0001 mg/L,0.486 mg/L,,9.5 C,,0.0012 mg/L,0.5 mg/L,<0.0003 mg/L,,2.4 mg/L,,1.5 ug/L,0.0002 mg/L,<0.0001 mg/L,,,0.015 mg/L,<0.0004 mg/L,-79.97105,43.2226
403,AC SW1,HAMILTON WEST SWQP,2022/10/14 05:00:00+00,,,,<0.0001 mg/L,0.084 mg/L,,0.0012 mg/L,0.038 mg/L,0.106 mg/L,<0.0001 mg/L,,<0.0001 mg/L,124 mg/L,<1 mg/L,<0.0001 mg/L,,,195 mg/L,0.0001 mg/L,1241 uS/cm,0.0002 mg/L,0.0010 mg/L,,,9.1 mg/L,2910 MPN/100mL,,,0.284 mg/L,406 mg/L,2.65 mg/L,0.0094 mg/L,,23.4 mg/L,0.0810 mg/L,0.0004 mg/L,,96.2 mg/L,,0.05 mg/L,0.0004 mg/L,<0.05 mg/L,0.81 mg/L,,<0.05 mg/L,,0.049 mg/L,,0.0003 mg/L,,8.03 pH,<0.0001 mg/L,0.0001 mg/L,6.78 mg/L,<0.0001 mg/L,0.402 mg/L,,10.5 C,,0.0018 mg/L,0.3 mg/L,<0.0003 mg/L,,3.6 mg/L,,0.928 ug/L,0.0004 mg/L,<0.0001 mg/L,,,0.005 mg/L,<0.0004 mg/L,-79.97105,43.2226
404,AC SW1,HAMILTON WEST SWQP,2023/06/06 05:00:00+00,,,,<0.0001 mg/L,0.066 mg/L,,0.0012 mg/L,0.04 mg/L,0.104 mg/L,<0.0001 mg/L,,<0.0001 mg/L,123 mg/L,<2 mg/L,<0.0001 mg/L,,,238 mg/L,0.0001 mg/L,1272 uS/cm,0.0002 mg/L,0.0008 mg/L,,,10.78 mg/L,770 MPN/100mL,,,0.232 mg/L,405 mg/L,1.69 mg/L,0.0094 mg/L,,23.8 mg/L,0.0749 mg/L,0.0005 mg/L,,135 mg/L,,0.04 mg/L,0.0004 mg/L,<0.05 mg/L,0.7 mg/L,,<0.05 mg/L,,0.04 mg/L,,0.0002 mg/L,,8.16 pH,<0.0001 mg/L,0.0002 mg/L,5.64 mg/L,<0.0001 mg/L,0.414 mg/L,,19.6 C,,0.0019 mg/L,0.3 mg/L,<0.0003 mg/L,,4.6 mg/L,,0.963 ug/L,0.0004 mg/L,<0.0001 mg/L,,,0.004 mg/L,<0.0004 mg/L,-79.97105,43.2226
405,AC SW1,HAMILTON WEST SWQP,2023/07/13 05:00:00+00,,,,<0.0001 mg/L,0.075 mg/L,,0.0017 mg/L,0.04 mg/L,0.0888 mg/L,<0.0001 mg/L,,<0.0001 mg/L,104 mg/L,<2 mg/L,<0.0001 mg/L,,,158 mg/L,0.0001 mg/L,1093 uS/cm,0.0002 mg/L,0.0012 mg/L,,,9.2 mg/L,1050 MPN/100mL,,,0.328 mg/L,345 mg/L,2.35 mg/L,0.0091 mg/L,,20.8 mg/L,0.0788 mg/L,0.0006 mg/L,,83.4 mg/L,,0.04 mg/L,0.0005 mg/L,<0.05 mg/L,0.6 mg/L,,<0.05 mg/L,,0.058 mg/L,,0.0003 mg/L,,7.59 pH,<0.0001 mg/L,0.0001 mg/L,5.77 mg/L,<0.0001 mg/L,0.412 mg/L,,19 C,,0.0045 mg/L,0.5 mg/L,<0.0003 mg/L,,3 mg/L,,1.21 ug/L,0.0005 mg/L,<0.0001 mg/L,,,0.011 mg/L,<0.0004 mg/L,-79.97105,43.2226
406,AC SW1,HAMILTON WEST SWQP,2023/08/16 05:00:00+00,,,,<0.0001 mg/L,0.118 mg/L,,0.0017 mg/L,0.04 mg/L,0.0826 mg/L,<0.0001 mg/L,,<0.0001 mg/L,94.8 mg/L,<3 mg/L,<0.0001 mg/L,,,128 mg/L,0.0002 mg/L,914 uS/cm,0.0002 mg/L,0.0016 mg/L,,,8.17 mg/L,1520 MPN/100mL,,,0.342 mg/L,314 mg/L,2.61 mg/L,0.0069 mg/L,,18.8 mg/L,0.0759 mg/L,0.0008 mg/L,,68.2 mg/L,,0.03 mg/L,0.0006 mg/L,<0.05 mg/L,0.51 mg/L,,<0.05 mg/L,,0.071 mg/L,,0.0004 mg/L,,7 pH,<0.0001 mg/L,0.0001 mg/L,5.5 mg/L,<0.0001 mg/L,0.399 mg/L,,17.4 C,,0.0024 mg/L,0.6 mg/L,<0.0003 mg/L,,5.7 mg/L,,1.55 ug/L,0.0006 mg/L,<0.0001 mg/L,,,0.011 mg/L,<0.0004 mg/L,-79.97105,43.2226
407,AC SW1,HAMILTON WEST SWQP,2023/09/26 05:00:00+00,,,,<0.0001 mg/L,0.034 mg/L,,0.0011 mg/L,0.049 mg/L,0.0996 mg/L,<0.0001 mg/L,,<0.0001 mg/L,125 mg/L,<2 mg/L,<0.0001 mg/L,,,196 mg/L,0.0001 mg/L,1257 uS/cm,<0.0001 mg/L,0.0006 mg/L,,,9.63 mg/L,1200 MPN/100mL,,,0.188 mg/L,408 mg/L,1.91 mg/L,0.0111 mg/L,,23.4 mg/L,0.065 mg/L,0.0005 mg/L,,99.5 mg/L,,0.02 mg/L,0.0004 mg/L,<0.05 mg/L,0.59 mg/L,,<0.05 mg/L,,0.028 mg/L,,0.0001 mg/L,,7.68 pH,<0.0001 mg/L,0.0002 mg/L,7 mg/L,<0.0001 mg/L,0.388 mg/L,,13.5 C,,0.0011 mg/L,0.4 mg/L,<0.0003 mg/L,,3.4 mg/L,,1.17 ug/L,0.0003 mg/L,<0.0001 mg/L,,,0.004 mg/L,<0.0004 mg/L,-79.97105,43.2226
408,AC SW4,HAMILTON WEST SWQP,2021/07/13 05:00:00+00,,,,<0.0001 mg/L,0.129 mg/L,,0.0016 mg/L,0.049 mg/L,0.0872 mg/L,<0.0001 mg/L,,<0.0001 mg/L,107 mg/L,<2 mg/L,<0.0001 mg/L,,,143 mg/L,0.0002 mg/L,1039 uS/cm,0.0002 mg/L,0.0008 mg/L,,,7.10 mg/L,579 MPN/100mL,,,0.736 mg/L,345 mg/L,1.84 mg/L,0.0036 mg/L,,18.8 mg/L,0.352 mg/L,0.0005 mg/L,,81.3 mg/L,,0.09 mg/L,0.0004 mg/L,<0.05 mg/L,0.56 mg/L,,0.06 mg/L,,0.111 mg/L,,0.0003 mg/L,,7.80 pH,<0.0001 mg/L,0.0001 mg/L,5.92 mg/L,0.0002 mg/L,0.913 mg/L,,17.1 C,,0.0036 mg/L,0.5 mg/L,<0.0003 mg/L,,4.6 mg/L,,0.508 ug/L,0.0006 mg/L,<0.0001 mg/L,,,0.012 mg/L,<0.0004 mg/L,-79.97426,43.20544
409,AC SW4,HAMILTON WEST SWQP,2022/03/17 05:00:00+00,,,,<0.0001 mg/L,0.354 mg/L,,0.0005 mg/L,0.040 mg/L,0.0471 mg/L,<0.0001 mg/L,,<0.0001 mg/L,86.4 mg/L,<2 mg/L,<0.0001 mg/L,,,81.0 mg/L,0.0002 mg/L,717 uS/cm,0.0005 mg/L,0.0014 mg/L,,,12.7 mg/L,61 MPN/100mL,,,0.527 mg/L,273 mg/L,1.92 mg/L,0.0017 mg/L,,13.8 mg/L,0.122 mg/L,0.0003 mg/L,,47.5 mg/L,,0.06 mg/L,0.0005 mg/L,<0.05 mg/L,0.69 mg/L,,<0.05 mg/L,,0.076 mg/L,,0.0008 mg/L,,7.92 pH,<0.0001 mg/L,0.0001 mg/L,4.84 mg/L,<0.0001 mg/L,0.642 mg/L,,4.6 C,,0.0075 mg/L,0.4 mg/L,<0.0003 mg/L,,9.3 mg/L,,1.32 ug/L,0.0009 mg/L,<0.0001 mg/L,,,0.015 mg/L,<0.0004 mg/L,-79.97426,43.20544
410,AC SW1,HAMILTON WEST SWQP,2023/05/16 05:00:00+00,,,,<0.0001 mg/L,0.075 mg/L,,0.001 mg/L,0.033 mg/L,0.0808 mg/L,<0.0001 mg/L,,<0.0001 mg/L,114 mg/L,<2 mg/L,<0.0001 mg/L,,,194 mg/L,0.0001 mg/L,1216 uS/cm,0.0002 mg/L,0.0008 mg/L,,,12.04 mg/L,1140 MPN/100mL,,,0.241 mg/L,376 mg/L,1.63 mg/L,0.0086 mg/L,,22.2 mg/L,0.0833 mg/L,0.0005 mg/L,,100 mg/L,,0.01 mg/L,0.0004 mg/L,<0.05 mg/L,0.5 mg/L,,<0.05 mg/L,,0.03 mg/L,,0.0002 mg/L,,7.96 pH,<0.0001 mg/L,0.0001 mg/L,4.43 mg/L,<0.0001 mg/L,0.418 mg/L,,13.2 C,,0.0017 mg/L,0.3 mg/L,<0.0003 mg/L,,4.8 mg/L,,1.24 ug/L,0.0003 mg/L,<0.0001 mg/L,,,0.007 mg/L,<0.0004 mg/L,-79.97105,43.2226
411,BatC SW2,HAMILTON EAST SWQP,2021/08/24 05:00:00+00,,,,<0.0001 mg/L,0.171 mg/L,,0.0012 mg/L,0.103 mg/L,0.0468 mg/L,<0.0001 mg/L,,<0.0001 mg/L,112 mg/L,<2 mg/L,<0.0001 mg/L,,,369 mg/L,0.0002 mg/L,1904 uS/cm,0.0003 mg/L,0.0026 mg/L,,,6.66 mg/L,1270 MPN/100mL,,,0.202 mg/L,422 mg/L,4.78 mg/L,0.0174 mg/L,,34.5 mg/L,0.0297 mg/L,0.0013 mg/L,,228 mg/L,,0.02 mg/L,0.0014 mg/L,<0.05 mg/L,0.14 mg/L,,0.06 mg/L,,0.071 mg/L,,0.0005 mg/L,,7.84 pH,<0.0001 mg/L,0.0002 mg/L,5.17 mg/L,<0.0001 mg/L,0.983 mg/L,,21.2 C,,0.0048 mg/L,0.2 mg/L,<0.0003 mg/L,,5.8 mg/L,,1.09 ug/L,0.0009 mg/L,<0.0001 mg/L,,,0.004 mg/L,<0.0004 mg/L,-79.76628,43.21868
412,BatC SW2,HAMILTON EAST SWQP,2021/09/14 05:00:00+00,,,,<0.0001 mg/L,3.46 mg/L,,0.0015 mg/L,0.053 mg/L,0.0402 mg/L,0.0001 mg/L,,<0.0001 mg/L,54.6 mg/L,<3 mg/L,<0.0001 mg/L,,,105 mg/L,0.0011 mg/L,770.1 uS/cm,0.0038 mg/L,0.0061 mg/L,,,9.12 mg/L,1410 MPN/100mL,,,3.05 mg/L,199 mg/L,4.75 mg/L,0.0064 mg/L,,15.2 mg/L,0.0630 mg/L,0.0012 mg/L,,73.9 mg/L,,0.03 mg/L,0.0038 mg/L,<0.05 mg/L,0.86 mg/L,,0.08 mg/L,,0.189 mg/L,,0.0042 mg/L,,8.30 pH,0.0001 mg/L,0.0003 mg/L,9.03 mg/L,0.0002 mg/L,0.484 mg/L,,18.0 C,,0.0632 mg/L,1.0 mg/L,<0.0003 mg/L,,38.8 mg/L,,0.499 ug/L,0.0058 mg/L,<0.0001 mg/L,,,0.029 mg/L,0.0010 mg/L,-79.76628,43.21868
413,BatC SW2,HAMILTON EAST SWQP,2021/10/25 05:00:00+00,,,,<0.0001 mg/L,4.42 mg/L,,0.0021 mg/L,0.051 mg/L,0.0476 mg/L,0.0002 mg/L,,<0.0001 mg/L,70.2 mg/L,<3 mg/L,0.0001 mg/L,,,63.8 mg/L,0.0018 mg/L,729.2 uS/cm,0.0053 mg/L,0.0073 mg/L,,,10.58 mg/L,2300 MPN/100mL,,,4.47 mg/L,263 mg/L,5.95 mg/L,0.0083 mg/L,,21.4 mg/L,0.202 mg/L,0.0009 mg/L,,46.1 mg/L,,0.02 mg/L,0.0053 mg/L,<0.05 mg/L,0.57 mg/L,,0.11 mg/L,,0.287 mg/L,,0.0077 mg/L,,8.39 pH,0.0001 mg/L,0.0003 mg/L,11.3 mg/L,0.0002 mg/L,0.600 mg/L,,11.5 C,,0.129 mg/L,0.7 mg/L,<0.0003 mg/L,,110 mg/L,,0.945 ug/L,0.0081 mg/L,<0.0001 mg/L,,,0.051 mg/L,0.0022 mg/L,-79.76628,43.21868
414,BatC SW2,HAMILTON EAST SWQP,2021/11/29 05:00:00+00,,,,<0.0001 mg/L,0.125 mg/L,,0.0006 mg/L,0.050 mg/L,0.0269 mg/L,<0.0001 mg/L,,<0.0001 mg/L,96.0 mg/L,<2 mg/L,<0.0001 mg/L,,,135 mg/L,0.0001 mg/L,1090 uS/cm,0.0002 mg/L,0.0015 mg/L,,,14.4 mg/L,57 MPN/100mL,,,0.131 mg/L,370 mg/L,3.69 mg/L,0.0070 mg/L,,31.6 mg/L,0.0082 mg/L,0.0008 mg/L,,88.7 mg/L,,0.01 mg/L,0.0010 mg/L,<0.1 mg/L,0.39 mg/L,,<0.05 mg/L,,0.041 mg/L,,0.0002 mg/L,,8.38 pH,<0.0001 mg/L,0.0001 mg/L,2.87 mg/L,<0.0001 mg/L,0.787 mg/L,,2.3 C,,0.0028 mg/L,0.4 mg/L,<0.0003 mg/L,,1.3 mg/L,,1.35 ug/L,0.0005 mg/L,<0.0001 mg/L,,,0.003 mg/L,<0.0004 mg/L,-79.76628,43.21868
415,BatC SW2,HAMILTON EAST SWQP,2021/12/15 05:00:00+00,,,,<0.0001 mg/L,1.70 mg/L,,0.0006 mg/L,0.046 mg/L,0.0304 mg/L,<0.0001 mg/L,,<0.0001 mg/L,74.3 mg/L,<2 mg/L,<0.0001 mg/L,,,112 mg/L,0.0003 mg/L,915 uS/cm,0.0016 mg/L,0.0022 mg/L,,,13.4 mg/L,6 MPN/100mL,,,1.10 mg/L,294 mg/L,4.04 mg/L,0.0062 mg/L,,26.4 mg/L,0.0158 mg/L,0.0006 mg/L,,68.0 mg/L,,0.01 mg/L,0.0016 mg/L,<0.1 mg/L,0.52 mg/L,,<0.05 mg/L,,0.070 mg/L,,0.0015 mg/L,,8.24 pH,<0.0001 mg/L,0.0001 mg/L,5.62 mg/L,<0.0001 mg/L,0.496 mg/L,,4.1 C,,0.0499 mg/L,0.3 mg/L,<0.0003 mg/L,,6.0 mg/L,,0.985 ug/L,0.0028 mg/L,<0.0001 mg/L,,,0.011 mg/L,0.0011 mg/L,-79.76628,43.21868
416,BatC SW2,HAMILTON EAST SWQP,2022/03/07 05:00:00+00,,,,<0.0001 mg/L,2.20 mg/L,,0.0008 mg/L,0.025 mg/L,0.0235 mg/L,<0.0001 mg/L,,<0.0001 mg/L,41.7 mg/L,<3 mg/L,<0.0001 mg/L,,,90.5 mg/L,0.0009 mg/L,593 uS/cm,0.0025 mg/L,0.0035 mg/L,,,15.4 mg/L,230 MPN/100mL,,,2.13 mg/L,166 mg/L,3.41 mg/L,0.0037 mg/L,,15.1 mg/L,0.0799 mg/L,0.0004 mg/L,,58.6 mg/L,,0.06 mg/L,0.0026 mg/L,<0.05 mg/L,0.57 mg/L,,<0.05 mg/L,,0.110 mg/L,,0.0051 mg/L,,8.17 pH,<0.0001 mg/L,0.0001 mg/L,5.19 mg/L,<0.0001 mg/L,0.284 mg/L,,1.2 C,,0.0323 mg/L,0.5 mg/L,<0.0003 mg/L,,36.2 mg/L,,0.555 ug/L,0.0039 mg/L,<0.0001 mg/L,,,0.028 mg/L,0.0008 mg/L,-79.76628,43.21868
417,BatC SW2,HAMILTON EAST SWQP,2022/04/19 05:00:00+00,,,,<0.0001 mg/L,0.082 mg/L,,0.0005 mg/L,0.052 mg/L,0.0304 mg/L,<0.0001 mg/L,,<0.0001 mg/L,90.9 mg/L,<2 mg/L,<0.0001 mg/L,,,260 mg/L,0.0001 mg/L,1384 uS/cm,0.0003 mg/L,0.0023 mg/L,,,14.1 mg/L,291 MPN/100mL,,,0.111 mg/L,358 mg/L,3.72 mg/L,0.0072 mg/L,,31.9 mg/L,0.0130 mg/L,0.0008 mg/L,,157 mg/L,,<0.01 mg/L,0.0010 mg/L,<0.05 mg/L,0.29 mg/L,,<0.05 mg/L,,0.027 mg/L,,0.0003 mg/L,,8.39 pH,0.0002 mg/L,0.0002 mg/L,0.76 mg/L,<0.0001 mg/L,0.849 mg/L,,6.0 C,,0.0018 mg/L,0.4 mg/L,<0.0003 mg/L,,3.8 mg/L,,1.40 ug/L,0.0004 mg/L,<0.0001 mg/L,,,0.005 mg/L,<0.0004 mg/L,-79.76628,43.21868
418,AC SW4,HAMILTON WEST SWQP,2023/03/22 05:00:00+00,,,,<0.0001 mg/L,0.034 mg/L,,0.0004 mg/L,0.03 mg/L,0.0441 mg/L,<0.0001 mg/L,,<0.0001 mg/L,92.4 mg/L,<2 mg/L,<0.0001 mg/L,,,64.8 mg/L,<0.0001 mg/L,714 uS/cm,0.0001 mg/L,0.0008 mg/L,,,13.41 mg/L,5 MPN/100mL,,,0.116 mg/L,293 mg/L,1.35 mg/L,0.0016 mg/L,,15.1 mg/L,0.0588 mg/L,0.0004 mg/L,,37.2 mg/L,,0.02 mg/L,0.0002 mg/L,<0.05 mg/L,0.46 mg/L,,<0.05 mg/L,,0.032 mg/L,,0.0001 mg/L,,7.9 pH,<0.0001 mg/L,0.0001 mg/L,4.22 mg/L,<0.0001 mg/L,0.524 mg/L,,2.7 C,,0.001 mg/L,0.4 mg/L,<0.0003 mg/L,,<0.8 mg/L,,1.68 ug/L,0.0002 mg/L,<0.0001 mg/L,,,0.009 mg/L,<0.0004 mg/L,-79.97426,43.20544
419,AC SW4,HAMILTON WEST SWQP,2023/04/24 05:00:00+00,,,,<0.0001 mg/L,0.016 mg/L,,0.0006 mg/L,0.046 mg/L,0.0466 mg/L,<0.0001 mg/L,,<0.0001 mg/L,97.2 mg/L,<2 mg/L,<0.0001 mg/L,,,66.1 mg/L,<0.0001 mg/L,700 uS/cm,<0.0001 mg/L,0.0006 mg/L,,,11.15 mg/L,4 MPN/100mL,,,0.111 mg/L,308 mg/L,1.48 mg/L,0.002 mg/L,,15.8 mg/L,0.0643 mg/L,0.0004 mg/L,,38.5 mg/L,,0.02 mg/L,0.0002 mg/L,<0.1 mg/L,0.33 mg/L,,<0.05 mg/L,,0.052 mg/L,,<0.0001 mg/L,,7.61 pH,<0.0001 mg/L,0.0001 mg/L,3.87 mg/L,<0.0001 mg/L,0.488 mg/L,,8.7 C,,0.0007 mg/L,0.4 mg/L,<0.0003 mg/L,,<0.8 mg/L,,1.48 ug/L,0.0002 mg/L,<0.0001 mg/L,,,0.007 mg/L,<0.0004 mg/L,-79.97426,43.20544
