X,Y,OBJECTID,POLLUTANT_NAME,CONCENTRATION,UNIT,START_DATE,END_DATE,LONGITUDE,LATITUDE,SE_ANNO_CAD_DATA
592302.1131,4790127.5198,1057,SO2,0,ppb,2023/04/06 04:00:00+00,2023/04/20 04:00:00+00,-79.86280419,43.2583048,
594137.9374,4791465.3851,1058,SO2,0,ppb,2023/04/06 04:00:00+00,2023/04/20 04:00:00+00,-79.83996196,43.2701223,
593078.9131,4788682.6292,1059,SO2,0,ppb,2023/04/06 04:00:00+00,2023/04/20 04:00:00+00,-79.85347967,43.24520108,
597787.0243,4787696.2788,1060,SO2,0,ppb,2023/04/06 04:00:00+00,2023/04/20 04:00:00+00,-79.79567366,43.23572537,
586519.7321,4791093.029,1061,SO2,0,ppb,2023/04/06 04:00:00+00,2023/04/20 04:00:00+00,-79.93388105,43.26768338,
590274.843,4790626.7199,1062,SO2,0,ppb,2023/04/06 04:00:00+00,2023/04/20 04:00:00+00,-79.88769441,43.26304464,
589793.2126,4791612.66,1063,SO2,0,ppb,2023/04/06 04:00:00+00,2023/04/20 04:00:00+00,-79.89346685,43.27197859,
588562.2305,4790000.2801,1064,SO2,0,ppb,2023/04/06 04:00:00+00,2023/04/20 04:00:00+00,-79.908893,43.257608,
592200.9631,4791696.69,1065,SO2,0,ppb,2023/04/06 04:00:00+00,2023/04/20 04:00:00+00,-79.86378741,43.27244426,
580296.2908,4783063.3573,1066,SO2,0,ppb,2023/04/07 04:00:00+00,2023/04/21 04:00:00+00,-80.01172522,43.19607817,
583415.8815,4786790.469,1067,SO2,0,ppb,2023/04/07 04:00:00+00,2023/04/21 04:00:00+00,-79.9727726,43.22929641,
590229.6809,4788139.7643,1068,SO2,0,ppb,2023/04/07 04:00:00+00,2023/04/21 04:00:00+00,-79.888658,43.24066,
585944.7946,4785557.4267,1069,SO2,0,ppb,2023/04/07 04:00:00+00,2023/04/21 04:00:00+00,-79.9418274,43.21791123,
588771.0824,4780863.588,1071,SO2,0,ppb,2023/04/07 04:00:00+00,2023/04/20 04:00:00+00,-79.90778963,43.17532481,
595000.1238,4786561.1289,1072,SO2,0,ppb,2023/04/07 04:00:00+00,2023/04/20 04:00:00+00,-79.83018497,43.22586195,
583415.8815,4786790.469,1073,SO2,0,ppb,2023/04/07 04:00:00+00,2023/04/21 04:00:00+00,-79.9727726,43.22929641,
593965.813,4787971.0586,1074,SO2,0,ppb,2023/04/07 04:00:00+00,2023/04/20 04:00:00+00,-79.84267854,43.2386849,
599614.2847,4791044.3303,1075,SO2,1.11196988047422,ppb,2023/04/07 04:00:00+00,2023/04/20 04:00:00+00,-79.77256927,43.26562752,
600030.9575,4782822.5997,1076,SO2,0,ppb,2023/04/07 04:00:00+00,2023/04/20 04:00:00+00,-79.768927,43.191555,
591861.1849,4789788.6021,1077,SO2,11.9716850801568,ppb,2023/05/17 04:00:00+00,2023/05/31 04:00:00+00,-79.86829206,43.25530742,
594137.9374,4791465.3851,1078,SO2,11.2030709890803,ppb,2023/05/17 04:00:00+00,2023/05/31 04:00:00+00,-79.83996196,43.2701223,
592302.1131,4790127.5198,1079,SO2,9.90694831234732,ppb,2023/05/17 04:00:00+00,2023/05/31 04:00:00+00,-79.86280419,43.2583048,
600410.7348,4787950.8191,1080,SO2,0,ppb,2023/05/16 04:00:00+00,2023/05/30 04:00:00+00,-79.76332148,43.23767219,
